도매소매처코드,소매처코드
1147015,6033130
1148386,6033130
1266430,6033130
1512732,6033130
1609122,6033130
1255015,6022452
1221860,6022452
1221899,6022452
1111745,6022452
1288027,6001059
1255509,6001059
1278471,6001059
1745640,6001059
1291653,6001059
1397120,6001059
1517578,6001059
1690055,6001059
1289926,6022452
1290056,6022452
1270557,6022455
1290577,6022452
1290604,6022452
1123428,6033130
1298241,6001059
1841264,6121599
1735175,6001059
1222486,6033130
1549054,6000839
412796,6163102
444508,6152527
444599,6035552
750648,6152413
007040,6152664
760653,6035552
771885,6163102
233749,6144140
293139,6056390
752082,6152485
761636,6000894
6   2  5,6152418
752144,6001056
752226,6013251
755448,6152413
764687,6163102
767149,6152527
771890,6163102
751756,6152418
760102,6144140
752804,6152664
００７０４０,6152664
760102,6152664
763306,6152664
752138,6164652
